6800,5710,4780,3860,2930,2000,6800
3.07,0,0,0,0,0,3
3.75114,0,0,0,0,0,3
122,100,110,120,130,130,122
14.1,10,10,10,10,20,14
1310,1100,1190,1270,1360,1450,1310
320,270,290,310,330,350,320
1480,1240,1340,1440,1540,1640,1480
5500,4620,3960,3310,2650,2000,5500
2.90,0,0,0,0,0,2
4.20115,0,0,0,0,0,4
118,100,110,110,120,130,118
14.3,10,10,10,10,20,14
932,780,840,910,970,1030,932
73,60,70,70,80,80,73
1550,1300,1400,1510,1610,1710,1550
3200,2690,2520,2340,2170,2000,3200
2.59,0,0,0,0,0,2
4.58116,0,0,0,0,10,4
114,100,100,110,120,130,114
14.5,10,10,10,20,20,14
2970,2490,2370,2250,2120,2000,2970
700,590,630,680,730,770,700
1310,1100,1190,1270,1360,1450,1310
1600,1340,1450,1560,1660,1770,1600
2.96,0,0,0,0,0,2
3.75117,0,0,0,0,0,3
133,110,120,130,140,150,133
15.4,10,10,10,20,20,15
3660,3070,2810,2540,2270,2000,3660
1100,920,1000,1070,1140,1220,1100
1310,1100,1190,1270,1360,1450,1310
8500,7140,5850,4570,3280,2000,8500
3.36,0,0,0,0,0,3
3.83118,0,0,0,0,0,3
124,100,110,120,130,140,124
13.8,10,10,10,10,20,13
304,260,280,300,320,340,304
78,70,70,80,80,90,78
1870,1570,1680,1790,1890,2000,1870
2500,2100,2070,2050,2020,2000,2500
2.44,0,0,0,0,0,2
4.67119,0,0,0,0,10,4
116,100,110,110,120,130,116
13.4,10,10,10,10,10,13
2260,1900,1920,1950,1970,2000,2260
69,60,60,70,70,80,69
1360,1140,1230,1320,1410,1500,1360
2500,2100,2070,2050,2020,2000,2500
3.24,0,0,0,0,0,3
4.00120,0,0,0,0,0,4
144,120,130,140,150,160,144
16.1,10,10,20,20,20,16
4680,3930,3450,2970,2480,2000,4680
930,780,840,900,970,1030,930
1280,1080,1160,1250,1330,1420,1280
3600,3020,2770,2510,2260,2000,3600
3.34,0,0,0,0,0,3
4.11121,0,0,0,0,0,4
129,110,120,130,130,140,129
15.3,10,10,10,20,20,15
1460,1230,1320,1420,1520,1610,1460
660,550,600,640,690,730,660
1470,1230,1330,1430,1530,1630,1470
4900,4120,3590,3060,2530,2000,4900
2.77,0,0,0,0,0,2
4.19122,0,0,0,0,0,4
120,100,110,120,120,130,120
14.9,10,10,10,20,20,14
3770,3170,2870,2580,2290,2000,3770
180,150,160,180,190,200,180
1280,1080,1160,1250,1330,1420,1280
2500,2100,2070,2050,2020,2000,2500
3.32,0,0,0,0,0,3
4.17123,0,0,0,0,0,4
123,100,110,120,130,140,123
14.8,10,10,10,20,20,14
3270,2750,2560,2370,2190,2000,3270
350,290,320,340,360,390,350
1310,1100,1190,1270,1360,1450,1310
2500,2100,2070,2050,2020,2000,2500
3.15,0,0,0,0,0,3
4.08124,0,0,0,0,0,4
129,110,120,130,130,140,129
14.0,10,10,10,10,20,14
3450,2900,2670,2450,2220,2000,3450
190,160,170,180,200,210,190
1310,1100,1190,1270,1360,1450,1310
8200,6890,5670,4440,3220,2000,8200
3.52,0,0,0,0,0,3
3.83125,0,0,0,0,0,3
111,90,100,110,120,120,111
12.8,10,10,10,10,10,12
234,200,210,230,240,260,234
25,20,20,20,30,30,25
1900,1600,1700,1800,1900,2000,1900
2200,1850,1890,1920,1960,2000,2200
2.52,0,0,0,0,0,2
4.17126,0,0,0,0,0,4
109,90,100,110,110,120,109
14.2,10,10,10,10,20,14
619,520,560,600,640,680,619
18,20,20,20,20,20,18
1630,1370,1480,1590,1690,1800,1630
2000,1680,1760,1840,1920,2000,2000
2.72,0,0,0,0,0,2
4.44127,0,0,0,0,0,4
121,100,110,120,130,130,121
14.8,10,10,10,20,20,14
2490,2090,2070,2050,2020,2000,2490
820,690,740,800,850,910,820
1360,1140,1230,1320,1410,1500,1360
4500,3780,3330,2890,2440,2000,4500
2.97,0,0,0,0,0,2
4.38129,0,0,0,0,0,4
116,100,110,110,120,130,116
14.7,10,10,10,20,20,14
714,600,650,690,740,790,714
58,50,50,60,60,60,58
1610,1350,1460,1570,1670,1780,1610
2800,2350,2260,2180,2090,2000,2800
2.57,0,0,0,0,0,2
4.27130,0,0,0,0,0,4
127,110,120,120,130,140,127
15.2,10,10,10,20,20,15
645,540,580,630,670,710,645
41,30,40,40,40,50,41
1660,1390,1500,1610,1730,1840,1660
1400,1180,1270,1360,1450,1550,1400
2.49,0,0,0,0,0,2
4.78131,0,0,0,0,10,4
122,100,110,120,130,130,122
14.8,10,10,10,20,20,14
1210,1020,1100,1180,1260,1340,1210
85,70,80,80,90,90,85
1500,1260,1360,1460,1560,1660,1500
2400,2020,2010,2010,2000,2000,2400
2.90,0,0,0,0,0,2
4.36132,0,0,0,0,0,4
123,100,110,120,130,140,123
15.5,10,10,20,20,20,15
2250,1890,1920,1940,1970,2000,2250
84,70,80,80,90,90,84
1380,1160,1250,1340,1430,1530,1380
1800,1510,1630,1750,1870,1990,1800
2.95,0,0,0,0,0,2
4.12133,0,0,0,0,0,4
130,110,120,130,140,140,130
15.1,10,10,10,20,20,15
4130,3470,3100,2730,2370,2000,4130
1200,1010,1090,1170,1250,1330,1200
1290,1080,1170,1250,1340,1430,1290
2300,1930,1950,1970,1980,2000,2300
3.22,0,0,0,0,0,3
3.82134,0,0,0,0,0,3
113,90,100,110,120,120,113
14.6,10,10,10,20,20,14
5390,4530,3900,3260,2630,2000,5390
1800,1510,1630,1750,1870,1990,1800
1230,1030,1110,1200,1280,1360,1230
2500,2100,2070,2050,2020,2000,2500
3.41,0,0,0,0,0,3
4.00135,0,0,0,0,0,4
105,90,100,100,110,120,105
14.4,10,10,10,10,20,14
2400,2020,2010,2010,2000,2000,2400
81,70,70,80,80,90,81
1340,1130,1210,1300,1390,1480,1340
1100,920,1000,1070,1140,1220,1100
